from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8010006,8010006,0,2,0,0,0,Dresden
8010006,8012699,0,2,0,0,0,Dresden
8010072,8010072,59,191,33,0,420,Dresden
8010072,8012471,13,45,55,0,330,Dresden
8010072,8012701,10,45,28,0,390,Dresden
8010072,8013267,15,50,29,0,210,Dresden
8010072,8013444,15,37,26,0,210,Dresden
8010072,8013490,5,21,9,0,60,Dresden
8010088,8010088,15,172,4,0,150,Dresden
8010088,8011417,4,39,6,0,150,Dresden
8010088,8011418,19,86,9,0,150,Dresden
8010088,8012150,3,29,4,0,60,Dresden
8010088,8013269,6,18,10,0,30,Dresden
8010091,8010091,5,34,4,0,30,Dresden
8010091,8011855,0,17,0,0,0,Dresden
8010091,8012249,1,17,2,0,30,Dresden
8010116,8010116,14,82,10,0,120,Dresden
8010116,8011569,3,41,4,0,90,Dresden
8010116,8011570,11,41,17,0,120,Dresden
8010131,8010131,2,34,2,0,30,Dresden
8010131,8011656,1,18,2,0,30,Dresden
8010131,8012061,5,31,6,0,60,Dresden
8010163,8010163,45,159,30,0,540,Dresden
8010163,8011398,2,18,22,0,360,Dresden
8010163,8011428,15,80,8,0,90,Dresden
8010163,8011843,25,79,44,0,540,Dresden
8010174,8010174,6,40,8,0,60,Dresden
8010174,8012061,2,20,6,0,90,Dresden
8010174,8013165,3,20,9,0,60,Dresden
8010177,8011922,0,11,0,0,0,Dresden
8010177,8012942,4,17,11,0,90,Dresden
8010249,8010249,1,23,1,0,30,Dresden
8010249,8012113,0,12,0,0,0,Dresden
8010249,8012163,0,17,0,0,0,Dresden
8010272,8010272,31,78,35,0,570,Dresden
8010272,8011844,5,80,3,0,120,Dresden
8010272,8012540,7,39,36,0,510,Dresden
8010272,8012640,1,17,4,0,60,Dresden
8010285,8010285,35,101,36,0,240,Dresden
8010285,8011749,9,30,40,0,240,Dresden
8010285,8012482,13,34,27,0,120,Dresden
8010285,8012523,7,20,33,0,240,Dresden
8010285,8013267,7,17,25,0,120,Dresden
8010292,8010072,0,1,0,0,0,Dresden
8010292,8010292,31,91,39,0,360,Dresden
8010292,8011427,12,45,34,0,420,Dresden
8010292,8012700,13,45,37,0,300,Dresden
8010370,8010370,3,38,10,0,300,Dresden
8010370,8012767,2,20,15,0,240,Dresden
8010370,8012870,1,19,2,0,30,Dresden
8011019,8011609,0,18,0,0,0,Dresden
8011039,8011039,1,18,10,0,180,Dresden
8011039,8012959,2,9,30,0,180,Dresden
8011039,8013168,0,9,0,0,0,Dresden
8011091,8011091,2,36,8,0,210,Dresden
8011091,8011095,2,18,17,0,240,Dresden
8011091,8011636,0,18,0,0,0,Dresden
8011095,8011091,0,18,0,0,0,Dresden
8011095,8011095,2,36,8,0,240,Dresden
8011095,8012170,2,18,15,0,210,Dresden
8011298,8011298,4,36,15,0,360,Dresden
8011298,8012394,2,18,23,0,360,Dresden
8011298,8013247,2,18,3,0,30,Dresden
8011320,8011320,15,41,32,0,240,Dresden
8011320,8011425,5,21,9,0,60,Dresden
8011320,8012503,6,20,42,0,210,Dresden
8011398,8010163,6,18,-65,0,330,Dresden
8011398,8011398,3,36,-36,0,390,Dresden
8011398,8012079,2,18,23,0,360,Dresden
8011399,8011417,1,39,1,0,30,Dresden
8011416,8011416,30,90,49,0,690,Dresden
8011416,8011423,9,45,27,0,300,Dresden
8011416,8013444,17,45,59,0,930,Dresden
8011417,8010088,4,39,3,0,30,Dresden
8011417,8011399,4,39,4,0,90,Dresden
8011417,8011417,9,78,5,0,120,Dresden
8011418,8010088,12,86,6,0,120,Dresden
8011418,8011418,39,172,12,0,210,Dresden
8011418,8013444,19,68,19,0,210,Dresden
8011419,8011419,12,41,29,0,270,Dresden
8011419,8011421,7,20,52,0,270,Dresden
8011419,8013475,5,21,11,0,60,Dresden
8011420,8011420,46,159,26,0,510,Dresden
8011420,8011422,24,79,42,0,540,Dresden
8011420,8011424,27,80,19,0,180,Dresden
8011421,8011419,4,21,7,0,60,Dresden
8011421,8011421,12,41,29,0,240,Dresden
8011421,8011425,8,20,50,0,270,Dresden
8011422,8011420,19,80,14,0,150,Dresden
8011422,8011422,45,159,26,0,540,Dresden
8011422,8011428,27,79,43,0,540,Dresden
8011423,8011416,17,45,63,0,570,Dresden
8011423,8011423,29,90,40,0,510,Dresden
8011423,8011427,12,45,35,0,300,Dresden
8011424,8011420,29,79,41,0,510,Dresden
8011424,8011424,56,159,29,0,510,Dresden
8011424,8011426,19,80,15,0,180,Dresden
8011425,8011320,6,20,44,0,240,Dresden
8011425,8011421,6,21,17,0,120,Dresden
8011425,8011425,13,41,29,0,270,Dresden
8011426,8011424,15,79,28,0,480,Dresden
8011426,8011426,41,159,25,0,480,Dresden
8011426,8011431,27,77,29,0,210,Dresden
8011427,8010292,19,45,51,0,360,Dresden
8011427,8011423,15,45,45,0,510,Dresden
8011427,8011427,33,90,42,0,510,Dresden
8011428,8010163,28,79,47,0,540,Dresden
8011428,8011422,14,80,9,0,120,Dresden
8011428,8011428,44,159,27,0,540,Dresden
8011451,8011451,10,40,8,0,30,Dresden
8011451,8012044,3,20,4,0,30,Dresden
8011451,8013114,8,20,20,0,60,Dresden
8011563,8011563,9,24,52,0,240,Dresden
8011563,8012681,5,12,68,0,240,Dresden
8011563,8013368,4,12,38,0,180,Dresden
8011569,8010116,8,41,12,0,120,Dresden
8011569,8011569,16,82,10,0,120,Dresden
8011569,8013445,8,41,11,0,120,Dresden
8011570,8010116,6,41,7,0,90,Dresden
8011570,8011570,14,82,11,0,180,Dresden
8011570,8013114,13,41,19,0,180,Dresden
8011609,8011019,2,18,13,0,180,Dresden
8011609,8011609,4,36,9,0,210,Dresden
8011609,8011825,2,18,7,0,60,Dresden
8011636,8011091,2,18,15,0,210,Dresden
8011636,8011636,2,36,9,0,270,Dresden
8011636,8012535,0,18,0,0,0,Dresden
8011637,8011637,17,40,52,0,510,Dresden
8011637,8012523,9,20,46,0,180,Dresden
8011637,8013461,8,20,45,0,300,Dresden
8011656,8010131,3,18,7,0,60,Dresden
8011656,8011656,7,36,9,0,60,Dresden
8011656,8011799,3,18,7,0,60,Dresden
8011676,8011676,1,18,7,0,120,Dresden
8011676,8012662,0,9,0,0,0,Dresden
8011676,8013168,1,9,13,0,120,Dresden
8011712,8011712,5,28,12,0,120,Dresden
8011712,8012680,3,14,17,0,120,Dresden
8011712,8013124,1,14,2,0,30,Dresden
8011749,8010285,12,31,39,0,150,Dresden
8011749,8011749,22,58,37,0,240,Dresden
8011749,8012145,7,17,18,0,90,Dresden
8011749,8013368,5,12,65,0,210,Dresden
8011795,8011795,2,40,6,0,180,Dresden
8011795,8012767,3,20,6,0,60,Dresden
8011795,8013165,2,20,9,0,150,Dresden
8011799,8011656,4,18,10,0,60,Dresden
8011825,8011609,2,18,15,0,210,Dresden
